time,air_temperature_0m,air_temperature_2m,cloud_area_fraction,cloud_base_altitude,cloud_top_altitude,fog_area_fraction,rainfall_amount,relative_humidity_2m,precipitation_type,surface_downwelling_shortwave_flux_in_air,surface_downwelling_longwave_flux_in_air,wind_speed,wind_direction,wind_speed_of_gust,integral_of_surface_direct_normal_irradiance_wrt_time,integral_of_surface_downwelling_shortwave_flux_in_air_wrt_time,integral_of_surface_downwelling_longwave_flux_in_air_wrt_time,integral_of_toa_downwelling_shortwave_flux_wrt_time,precipitation_amount_acc
2022-07-29 00:00:00,289.22903,289.58823,0.9840393,10969.574,10969.606,0.0,0.0,0.53623044,,0.0,-68.55849,3.3667822,79.523705,3.370192,0.0,0.0,1128644.5,0.0,0.0
2022-07-29 01:00:00,288.9889,289.16522,0.9928894,10387.313,10963.352,0.0,0.0,0.5433565,,0.0,-64.52193,3.2757742,87.85999,6.955004,0.0,0.0,1159815.875,0.0,0.0
2022-07-29 02:00:00,288.5254,288.94684,0.9932251,9832.564,10954.814,0.0,0.0,0.5728518,,0.0,-69.515594,3.1979134,83.76603,6.208466,0.0,0.0,1146041.125,0.0,0.0
2022-07-29 03:00:00,288.5508,288.61246,0.9994812,8805.59,10944.59,0.0,0.0,0.6313692,,0.0,-60.68373,3.5158746,79.59387,6.7992983,0.0,0.0,1154952.5,0.0,0.0
2022-07-29 04:00:00,288.72626,288.19125,0.99472046,9299.425,9819.232,0.0,0.0,0.6709814,,15.9609375,-54.834976,3.2567325,81.28131,6.6953535,0.0,12352.0,1189700.5,45952.0,0.0
2022-07-29 05:00:00,290.5703,288.30206,0.9931946,8798.951,8798.985,0.0,0.0,0.68147933,,90.796,-67.51149,2.8961024,80.42196,6.2658215,0.0,210980.609375,1192874.0,578889.0,0.0
2022-07-29 06:00:00,291.49503,288.89307,1.0,6229.4526,9294.737,0.0,0.0,0.6727968,,111.363434,-51.405396,2.8744018,77.75799,2.8778794,13568.0,448687.9375,1229247.5,1271764.5,0.0
2022-07-29 07:00:00,295.57764,289.91702,0.9979553,6221.717,7423.013,0.0,0.0,0.61670494,,181.65285,-61.02437,2.1220396,86.57836,6.308171,16576.0,583677.125,1290466.5,1962316.25,0.0
2022-07-29 08:00:00,298.53586,291.89987,0.9998474,6223.9746,7424.5566,0.0,0.0,0.52501404,,246.46909,-76.06131,2.3863468,82.39934,5.370925,68544.0,910906.25,1314236.0,2603148.75,0.0
2022-07-29 09:00:00,303.83582,293.82053,0.96432495,,,0.0,0.0,0.44728526,,398.55093,-92.85329,2.8496232,78.43005,6.644705,186240.0,1222386.375,1347519.5,3150621.0,0.0
2022-07-29 10:00:00,308.21738,295.4627,0.7599182,,,0.0,0.0,0.3934367,,550.6598,-128.0545,3.232574,72.7741,7.8185477,704512.0,1992613.25,1339525.5,3567125.0,0.0
2022-07-29 11:00:00,308.11993,296.35953,0.90200806,,,0.0,0.0,0.36893082,,492.6588,-99.74216,3.2130582,70.18754,7.8291655,139776.0,1738878.0,1350438.0,3824796.0,0.0
2022-07-29 12:00:00,310.89624,297.59384,0.9715576,7858.653,8782.511,0.0,0.0,0.33963352,,591.6251,-137.91357,2.5103817,64.602196,2.514014,704512.0,2199701.0,1374122.5,3905281.0,0.0
2022-07-29 13:00:00,312.7083,298.41403,0.3690796,,,0.0,0.0,0.33694792,,596.2806,-147.57828,2.8893023,68.703224,7.6739497,1194688.0,2366017.75,1365474.0,3803660.75,0.0
2022-07-29 14:00:00,312.37726,299.2589,0.20709229,,,0.0,0.0,0.31697407,,575.58685,-162.7216,2.9246008,71.04756,7.793611,1708736.0,2531707.75,1301570.0,3526433.25,0.0
2022-07-29 15:00:00,306.6648,298.6122,0.09210205,,,0.0,0.0,0.3961063,,466.61584,-143.19572,4.7300034,48.35174,10.701623,128384.0,2087132.5,1302114.25,3092574.0,0.0
2022-07-29 16:00:00,304.23575,297.88666,0.0005493164,,,0.0,0.0,0.4258151,,366.36472,-121.29491,4.6041813,46.67259,10.807113,756736.0,1703372.0,1282804.75,2531311.0,0.0
2022-07-29 17:00:00,301.1104,297.4675,0.27267456,,,0.0,0.0,0.42905015,,233.27133,-109.560165,4.2599053,45.101963,10.123049,1686272.0,1201186.0,1254985.0,1881233.0,0.0
2022-07-29 18:00:00,297.45212,296.2369,0.72158813,,,0.0,0.0,0.45972094,,88.71094,-83.1528,3.5672426,37.336384,3.5703025,11776.0,522994.0,1300683.5,1186467.0,0.0
2022-07-29 19:00:00,294.70905,295.05603,0.6046753,,,0.0,0.0,0.4904829,,12.96875,-73.239395,4.3427124,36.297497,8.548699,96.0,194464.0,1248415.125,494112.0,0.0
2022-07-29 20:00:00,293.81964,294.08932,0.9841614,9809.728,10353.818,0.0,0.0,0.58487433,,0.0,-60.41223,3.954479,40.531895,8.449256,32.0,4672.0,1279128.875,20192.0,0.0
2022-07-29 21:00:00,293.8188,293.41605,0.99990845,3463.2192,3986.1062,0.0,0.0,0.6677298,,0.0,-36.890778,3.463606,34.703285,7.5611167,0.0,32.0,1346430.25,0.0,0.0
2022-07-29 22:00:00,293.40027,293.1889,0.97839355,3463.1968,3463.2424,0.0,0.0,0.7081351,,0.0,-40.531418,3.289654,50.921936,6.6786165,0.0,0.0,1359849.75,0.0,0.0
2022-07-29 23:00:00,293.15747,293.3512,0.99679565,3461.9424,4865.105,0.0,0.0,0.67098033,,0.0,-41.25624,2.3775961,63.42975,6.3226337,0.0,0.0,1344229.0,0.0,0.0
2022-07-30 00:00:00,292.4908,292.97928,0.79003906,4864.4116,4864.5186,0.0,0.0,0.66014695,,0.0,-46.80507,2.1856277,52.601566,2.1891224,0.0,0.0,1326515.0,0.0,0.0
2022-07-30 01:00:00,292.06686,292.4535,0.45639038,,,0.0,0.0,0.67908347,,0.0,-49.50569,2.3592117,41.476845,4.1422057,0.0,0.0,1300923.25,0.0,0.0
2022-07-30 02:00:00,290.65878,292.0526,0.13882446,,,0.0,0.0,0.68007565,,0.0,-67.7162,1.7161945,54.48471,4.137725,0.0,0.0,1216927.0,0.0,0.0
2022-07-30 03:00:00,290.32977,291.44974,0.07098389,,,0.0,0.0,0.7072519,,0.0,-66.59259,2.1406045,26.187817,3.5018246,0.0,0.0,1186252.0,0.0,0.0
2022-07-30 04:00:00,290.40955,290.68542,0.14318848,,,0.0,0.0,0.740623,,19.179688,-66.55672,2.303323,28.101812,3.996063,0.0,13888.0,1181799.75,40064.0,0.0
2022-07-30 05:00:00,293.3697,291.13815,0.46166992,,,0.0,0.0,0.70719075,,100.10207,-71.75542,1.9279355,56.359787,4.0896215,0.0,240139.25,1201541.0,563112.1875,0.0
2022-07-30 06:00:00,296.0987,292.585,0.881073,,,0.0,0.0,0.63248295,,161.12163,-68.4957,1.0677495,38.734573,1.0714991,0.0,665052.1875,1220772.5,1257265.0,0.0
2022-07-30 07:00:00,302.0906,293.5088,0.6699524,,,0.0,0.0,0.57375103,,262.18555,-96.56308,0.8133692,118.07836,3.5180671,0.0,869050.3125,1305533.25,1948911.875,0.0
2022-07-30 08:00:00,306.60297,294.74847,0.5590515,,,0.0,0.0,0.516301,,366.01483,-112.97768,1.0639772,249.59445,3.5211616,256.0,1268299.0,1313603.5,2590776.0,0.0
2022-07-30 09:00:00,309.80414,295.86435,0.53131104,,,0.0,0.0,0.47896206,,484.42993,-136.84225,1.8674765,281.8987,5.252814,3328.0,1800034.75,1333226.5,3139049.5,0.0
2022-07-30 10:00:00,314.49664,296.745,0.25408936,,,0.0,0.0,0.46345848,,619.0556,-163.32416,1.9302447,280.9078,5.650017,263424.0,2248313.5,1343263.75,3556284.5,0.0
2022-07-30 11:00:00,314.95676,297.5887,0.68777466,,,0.0,0.0,0.4551729,,605.0042,-157.15257,1.9842979,279.7597,6.3076267,89344.0,2488803.5,1356283.0,3814285.0,0.0
2022-07-30 12:00:00,315.13516,297.80917,0.9944763,,,0.0,0.0,0.4606508,,277.514,-133.6901,1.5036315,274.26572,1.5077488,512.0,2001795.0,1380750.5,3894773.0,0.0
2022-07-30 13:00:00,304.26273,297.09738,0.99716187,3460.605,4264.843,0.0,0.0,0.49980474,,245.22371,-79.705414,2.0884173,287.08762,5.318955,0.0,1007521.9375,1400869.75,3792819.0,0.0
2022-07-30 14:00:00,303.75095,297.07935,0.88568115,,,0.0,0.0,0.5186492,,251.02452,-73.738495,2.6691942,276.91464,6.284074,0.0,882075.5625,1428507.25,3514936.0,0.0
2022-07-30 15:00:00,309.25937,298.0519,0.4777527,,,0.0,0.0,0.469577,,410.5787,-128.78094,2.055594,280.16522,6.3183527,0.0,1576143.5,1392147.0,3080327.0,0.0
2022-07-30 16:00:00,306.7997,298.57666,0.077545166,,,0.0,0.0,0.4384341,,340.6154,-121.83058,2.481412,291.30478,6.3404484,256.0,1466352.0,1348900.5,2518040.0,0.0
2022-07-30 17:00:00,302.61966,298.2786,0.11669922,,,0.0,0.0,0.47465873,,225.76222,-107.20349,3.0495389,294.63324,6.9646277,37632.0,1142299.0,1303039.0,1867038.0,0.0
2022-07-30 18:00:00,298.70834,297.6537,0.55973816,,,0.0,0.0,0.48054934,,89.64844,-82.52838,2.338079,304.48578,2.3419707,0.0,611668.0,1299862.5,1170529.0,0.0
2022-07-30 19:00:00,295.56924,296.5285,0.6846924,3713.1233,3713.232,0.0,0.0,0.5318497,,13.933594,-76.87178,2.882143,300.6333,5.588622,149408.0,206048.0,1265302.25,477440.0,0.0
2022-07-30 20:00:00,294.55176,295.00354,0.99935913,8352.365,9328.696,0.0,0.0,0.581243,,0.0,-65.188416,3.4720464,292.0548,6.595542,-32.0,3584.0,1297062.25,16000.0,0.0
2022-07-30 21:00:00,293.2518,293.57523,0.33465576,,,0.0,0.0,0.5822045,,0.0,-71.0927,3.438763,305.96152,6.6657906,0.0,0.0,1251735.5,0.0,0.0
2022-07-30 22:00:00,292.63403,292.50015,0.6536865,,,0.0,0.0,0.72383696,,0.0,-62.326126,3.335318,304.42203,6.7349324,0.0,0.0,1258328.0,0.0,0.0
2022-07-30 23:00:00,292.2678,291.72177,0.35906982,,,0.0,0.0,0.8293978,,0.0,-52.736465,3.5920672,293.9534,6.980303,0.0,-32.0,1274053.5,0.0,0.0
